Short_title;Full_title;PI;Funder;Partners;LIF_Staff;stud_ing;Projet_duration;start_year;end_year;description;website
"""EXPERT-SFM""";"""Long-term expansion of the French forests : causal processes and tools to support Sustainable Forest Management.""";"""Jean-Daniel Bontemps,Géodata Paris IGN""";"""ADEME, Région Lorraine, Labex Arbre""";"""INRAE, AgroParisTech""";;"""Anaïs Denardou-Tisserand, Phd""";3;2015;2018;"""This project, initiated in 2015, aims to describe and understand the factors driving long-term forest expansion that affected the standing timber volume of French forests during the 20th century, following the forest transition. The project is based on historical data from the National Forest Inventory (IFN), historical forest statistics, and macro-scale forest dynamics models.""";
"""CHM-era""";"""Photogrammetric Canopy Height Models to Enhance forest Resource Assessments.""";"""Anne Joly,ONF""";"""Labex ARBRE""";"""UQAM (CA), INRAE, IGN""";"""Cédric Vega, Co-PI and WP leader""";"""Thibaut Souter, Postdoctoral Fellow""";2;2017;2019;"""The main objective is to assess the potential of photogrammetry to estimate and map forest variables over large areas, while preparing the implementation of optimized and standardized processing workflows to model the three-dimensional structure of the forest canopy.""";
"""GRECOFOR-CC""";"""Growth of European coniferous forests in a warmer climatic regime""";"""Jean-Daniel Bontemps,Géodata Paris IGN""";"""Labex Arbre""";"""BFV (Austria)""";;"""Clémentine Ols, Postdoctoral Fellow""";4;2017;2022;"""The objectives are 1) to identify recent trends and anomalies in the growth of the main European conifer species, occurring in oceanic, continental, or mountainous contexts and representative of contrasting climatic niches; 2) to examine their relationships with climatic factors in order to infer their possible long-term behavior.""";
"""XyloDensMap""";"""Assessing the wood density of European tree species for biomass stock and increment estimation in the French forests.""";"""Jean-Michel Leban,INRAE""";"""Ministère de l’Agriculture et de l’Alimentation""";"""IGN""";"""Jean-Daniel Bontemps, co-PI""";"""Baptiste Kerfriden, Phd""";;2018;2020;"""The XyloDensMap project makes it possible to measure wood density for all trees inventoried by the National Forest Inventory (IFN)—regardless of pedoclimatic conditions, species, age, or forest management practices—thus providing data with high national and regional representativeness for modeling wood density variations.""";
"""MAESTRO""";"""Dynamic sampling and inference for smart forest monitoring""";"""Olivier Bouriaud,Géodata Paris IGN""";"""Labex ARBRE, IGN""";"""ENSAI""";;"""Trinh Duong, Phd""";4;2022;2025;"""Evaluate sampling and estimation frameworks for National Forest Inventories through simulation and digital twins""";
"""MORNING""";"""Monitoring the resilience of growth in mixed woody species under climate change""";"""Lionel Hertzog,Géodata Paris IGN""";"""RMT Aforce""";"""INRAE""";""" Jean-Daniel Bontemps,Participant""";;1.5;2023;2025;"""There is a need to improve knowledge on the resilience of mixed stands. The objective is to provide an overview of the resilience of mixed forests in France in the face of climate change. To ensure representativeness and systematic coverage, data from the National Forest Inventory (NFI) are used. The target variable derived from the NFI is forest productivity, which is then used to compare different resilience indicators.""";
"""ModForTrans""";"""A new generation of forest MODels to predict FORest resources in a TRANSitional context""";"""Jean-Daniel Bontemps,Géodata Paris IGN""";"""IGN""";"""AgroParisTech, INRAE""";;"""Timothée Audinot""";3;2019;2021;;
"""ResForClim""";"""CC impact monitoring""";"""Jean-Daniel Bontemps,Géodata Paris IGN""";"""Impact LUE DEEPSURF""";;;"""Clémentine Ols, Postdoctoral Fellow""";4;2017;2022;"""The project made it possible to produce growth anomaly maps for several regional forest systems in metropolitan France, specifically even-aged monospecific forest stands.""";
"""MOPROF-CC""";"""Modeling French Forest Production in the Context of Climate Change""";"""Eric Dufrêne,UMR ESE""";"""ADEME GRAINE""";"""Géodata Paris IGN, AgroParisTech, INRAE""";"""Jean-Daniel Bontemps, co-PI""";"""Marion Jourdan, Postdoctoral Fellow""";4;2019;2023;"""The MOPROF project develops forest simulation tools to assess how climate change and management strategies affect French forests at both stand and regional scales. It improves and couples two models (CASTANEA and MARGOT) to integrate climate forcing and management scenarios. Results highlight large uncertainties but suggest a gradual decline in forest productivity over the next century, strongly influenced by management choices.""";
"""3DForEcoTech""";"""Three-dimensional Forest Ecosystem Monitoring and Better Understanding by Terrestrial-based Technologies (CA20118).""";"""Martin Mokrös, University College of London UK; Yunsheng Wang, Finnish Geospatial Research Institute Finaland""";"""EU COST ACTION""";"""Participant form 50 countries""";"""Cédric Vega, MC Member""";;4;2021;2025;"""3DForEcoTech project aims to establish a strong network of scientists and stakeholders (i.e. practitioners) and sensor manufacturers to synchronise the knowledge, to develop general protocols and algorithms for forest ecosystem state survey and forest functioning, and to make these novel technologies available to a broad audience. Specifically, 3DForEcoTech will develop protocols for data acquisition, processing, fusion for forest inventory and ecological applications, and will establish open-data and open-source algorithm databases.""";https://3dforecotech.eu/
"""Usewood""";"""Improving Data and Information on the Potential Supply of Wood Resources: A European Approach from Multisource National Forest Inventories (FP1001).""";"""Klemens Schadauer, BFW Austria; Susana Barreiro, Univ of Listboa Portugal""";"""EU COST ACTION""";"""MC Members from 25 countries""";"""Jean-Daniel Bontemps, MC Member""";;4;2010;2014;"""The UseWood action is part of the COST (Cooperative Research Scheme) initiative aimed at improving information on wood resources. It focuses on enhancing data availability through harmonization of forest inventory data across European countries. The action was initiated to better utilize inventory data, remote sensing methods, and technical-economic models to improve understanding of wood resources.""";Action FP1001 - COST
"""Boostfor""";"""Bootstrap Optimization and Optimal Sampling for Temporal FORest monitoring""";"""Cédric Vega""";"""ARTEMIS3";"""Ştefan cel Mare University of Suceava Roumania, ENSAI""";"""Olivier Bouriaud, CO-PI;Alexander Massey, Participant""";;1;2026;2026;"""The goal of this research is to develop and optimize sampling strategies and estimations based on Trinh Duong's thesis, focusing on accuracy, flexibility, and responsiveness. The first objective is to refine post-stratification using a bootstrap method. The second objective is to design adaptive sampling methods for repeated surveys, enabling annual forest condition assessments and transforming NFIs into more responsive monitoring systems""";
"""CartNatFeu""";"""National map assessing the sensitivity of mainland France to the projected risk of forest and vegetation fires.""";"""François Pimont, INRAE""";"""MTE DGPE GGPR""";"""IGN, Météo-France, ONF""";"""Cédric Vega""";"""Emilie Vautier""";4;2026;2029;"""Development of national maps analysing the sensitivity of mainland France to the projected risk of forest and vegetation fires, including the map of forest entities, the map of forest areas classified as fire-prone, and an operational wildfire danger map.""";
